t,horiz,vert
1,170.57,204.71
2,175.87,214.02
3,183.1,202.06
4,159.5,218.86
5,178.17,208.4
6,184.81,213
7,185.17,214.36
8,197.55,199.38
9,174.6,208.11
10,177.23,210.41
11,179.32,202.64
12,178.08,215.6
13,179.73,231.37
14,178.75,204.86
15,177.18,196.21
16,199.24,206.17
17,183.19,213.56
18,195.54,203.74
19,183.4,204.01
20,166.17,197.36
21,177.55,222.92
22,170.84,213.04
23,187.18,206.09
24,187.64,230.67
25,180.66,209.65
26,187.32,203.45
27,177.22,214.28
28,191.2,226.19
29,183.12,214.75
30,187.82,185.63
31,180.14,198.11
32,133.32,216.48
33,151.83,218.44
34,147.62,199.87
35,153.75,193.55
36,166.55,194.99
37,140.46,219.81
38,75.225,98.569
39,78.863,118.58
40,78.174,104.77
41,88.74,96.866
42,87.094,123.04
43,71.756,89.422
44,81.165,110.78
45,89.415,117.99
46,81.256,118.22
47,95.707,74.58
48,91.767,97.921
49,77.426,103.97
50,78.757,93.312
51,78.499,88.578
52,80.994,110.92
53,90.539,101.3
54,75.998,114.09
55,84.988,93.542
56,67.8,106.19
57,153.06,97.379
58,156.5,76.121
59,180.84,102.97
60,179.23,81.07
61,161.46,100.19
62,160.32,97.284
63,132.32,100.17
64,131.63,86.324
65,162.94,95.557
66,150.89,82.432
67,158.11,84.865
68,151.08,93.826
69,142.37,110.16
70,115.45,96.312
71,126.4,92.656
72,106.1,85.784
73,125.67,87.957
74,118.97,92.983
75,115.58,84.265
76,114.41,92.04
77,120.99,92.566
78,130.44,106.86
79,116.02,72.282
80,127.85,99.802
81,133.19,87.495
82,124.71,81.708
83,113.37,90.426
84,116.37,100.96
85,105.62,84.458
86,120.82,97.72
87,123.83,83.48
88,104.39,70.946
89,116.99,87.28
90,117.02,86.729
91,111.06,90.041
92,103.01,97.087
93,114.46,76.696
94,117.26,86.187
95,112.8,77.481
96,132.84,93.507
97,132.11,103.8
98,125,89.552
99,119.23,106.11
100,144.8,94.747
101,115.68,87.543
102,134.75,85.307
103,135.58,95.319
104,113.46,233.89
105,114.88,222.42
106,102.6,217.49
107,128.07,221.23
108,125.21,196.63
109,110.78,208.93
110,127.06,226.63
111,124.48,205.37
112,121.2,225.19
113,110.09,222.12
114,119.81,233.03
115,118.92,208.28
116,106.49,211.62
117,124.61,231.25
118,125.34,192.38
119,117.89,176.29
120,148.69,210.42
121,121.55,195.85
122,127.95,168.55
123,118.88,200.25
124,130.84,175.46
125,119.94,180.64
126,129.03,195.81
127,119.3,212.63
128,138.75,194.7
129,69.649,109.44
130,54.478,79.287
131,58.871,73.812
132,56.984,102.38
133,70.398,87.946
134,44.318,74.036
135,52.259,79.827
136,57.018,85.769
137,54.194,73.865
138,76.49,73.148
139,84.795,94.678
140,74.917,103.5
141,84.816,112.29
142,101.59,116.36
143,93.518,85.761
144,84.929,92.096
145,118.02,348.92
146,120.24,334.05
147,139.89,352.04
148,119.76,342.25
149,118.18,332.01
150,77.415,232.02
151,97.085,222.57
152,61.676,230.82
153,77.091,230.97
154,65.639,228.81
155,92.176,213.84
156,84.79,220.05
157,97.429,236.19
158,94.196,223.51
159,77.446,238.24
160,78.824,227.26
161,98.741,235
162,95.668,219.38
163,73.233,228.02
164,79.528,226.26
165,80.522,233.95
166,97.397,230.94
167,70.99,231.4
168,100.52,222.16
169,93.372,238.34
170,85.431,224.42
171,89.156,209.9
172,71.625,228.54
173,98.62,236.29
174,70.275,229.98
175,69.644,213.98
176,82.358,226.04
177,94.098,229.73
178,97.947,216.81
179,91.796,232.76
180,84.024,241.4
181,99.057,233.11
182,90.11,235.42
183,76.462,218.65
184,75.18,226.65
185,102.44,229.44
186,74.585,238.89
187,73.4,222.94
188,79.137,220.79
189,85.105,233.03
190,91.382,235.11
191,81.566,237.44
192,82.828,215.08
193,82.387,211.93
194,80.012,221.65
195,80.452,227.42
196,97.256,231.21
197,93.2,229.33
198,67.556,220.22
199,96.1,208.62
200,95.582,215.48
201,105.46,226.93
202,78.677,218.73
203,72.969,239.4
204,77.202,218.95
205,76.673,221.23
206,71.096,228.57
207,88.456,224.51
208,72.529,235.72
209,81.87,225.01
210,99.527,231.97
211,82.942,223.89
212,85.795,238.56
213,99.712,0.20205
214,93.935,15.913
215,103.51,9.6654
216,95.35,23.009
217,87.885,12.45
218,-5.6461,212.8
219,9.9971,219.83
220,8.657,208.1
221,12.653,219.71
222,17.021,228.63
223,16.322,380.21
224,5.9014,381.09
225,14.207,366.71
226,-11.485,374.16
227,2.8174,388.42
228,10.599,376.21
229,11.291,366.97
230,2.7527,384.35
231,-0.94581,374.65
232,-0.72861,365.55
233,117.61,92.067
234,113.21,89.072
235,133.76,93.256
236,124.78,92.438
237,106.61,85.748
238,120.92,91.107
239,104.58,89.768
240,131.81,90.564
241,1.924,267.1
242,-8.2805,263.56
243,14.896,269.1
244,20.802,275.81
245,75.179,182.69
246,82.007,200.99
247,98.041,193.82
248,98.73,192.54
249,79.186,193.52
250,80.819,191.62
251,83.528,190.29
252,92.738,185.02
253,86.108,202.75
254,82.601,187.18
255,100.36,196.67
256,91.057,176.76
257,81.782,207.04
258,99.892,207.9
259,100.03,196.12
260,80.841,209.83
261,98.192,201.48
262,92.746,202.07
263,85.018,195.38
264,101.52,194.9
265,92.62,207.17
266,104.33,201.74
267,90.638,195.41
268,83.203,199.9
269,92.228,189.64
270,85.523,195.18
271,103.75,206.38
272,96.616,196.4
273,96.865,204.45
274,71.052,189.54
275,76.128,199.67
276,88.423,196.1
277,95.044,188.21
278,85.246,203.5
279,96.778,204.87
280,101.94,191.45
281,100.71,177.13
282,96.507,194.62
283,68.941,201.83
284,98.317,173.98
285,82.261,191.13
286,100.59,202.84
287,95.086,187.19
288,85.243,191.64
289,106.89,209.36
290,108.14,206.47
291,120.8,205.15
292,92.804,193.22
293,111.15,225.37
294,97.502,207.84
295,112.8,223.03
296,104.59,211.05
297,100.55,204.71
298,114.73,208.12
299,100.08,207.04
300,106.74,208.89
301,119.18,215.74
302,104.03,203.11
303,93.626,203.99
304,92.441,222.32
305,89.761,198.93
306,121.17,207.66
307,106.49,199.63
308,90.981,225.6
309,90.009,218.56
310,107.61,212.55
311,69,221.34
312,96.936,236.83
313,82.587,211.53
314,112.93,216.81
315,91.457,370.25
316,80.451,378.21
317,100.86,371.88
318,97.099,368.47
319,87.8,370.47
320,78.121,367.12
321,84.74,372.57
322,96.083,353.15
323,85.662,396.43
324,96.633,357.1
325,82.463,376.87
326,86.669,368.31
327,96.251,185.97
328,105.88,217.48
329,88.087,196.99
330,108.59,193.45
331,101.92,214.61
332,110.3,212.86
333,106.82,195.15
334,106.96,197.43
335,103.17,177.05
336,109.16,204.63
337,108.28,212.72
338,86.095,193.82
339,111.97,197.38
340,116.13,187.81
341,108.98,206.27
342,103.63,227.27
343,105.54,210.87
344,94.147,204.34
345,113.14,201.24
346,113.29,193.06
347,86.185,210.91
348,100.49,191.4
349,85.941,206.76
350,101.23,203.31
351,105.06,199.29
352,104.96,195.13
353,98.147,189.83
354,127.12,203.2
355,100.68,210.49
356,107.15,197.68
357,127.76,207.01
358,117.23,196.58
359,131.82,205.32
360,110.72,216
361,117.13,211.2
362,102.7,225.86
363,101.37,200.7
364,110.86,216.5
365,114.28,209.25
366,115.11,208.85
367,78.611,212.25
368,103.07,205.27
369,106.68,205.91
370,112.87,206.14
371,112.77,190.63
372,101.61,232.05
373,104.21,230.97
374,96.061,-3.8967
375,96.125,17.611
376,91.75,13.292
377,96.722,13.613
378,82.165,-6.7118
379,88.086,15.534
380,82.633,9.2194
381,83.033,-6.2456
382,104.16,10.573
383,100.32,1.8972
384,88.771,4.0055
385,96.387,3.0278
386,85.47,19.316
387,82.749,5.4232
388,100.08,15.095
389,88.347,15.29
390,93.618,15.872
391,96.925,22.45
392,87.652,-9.3661
393,104.42,8.5835
394,92.388,9.3735
395,98.104,9.3255
396,89.435,28.456
397,89.266,0.068395
398,102.01,6.7757
399,93.261,11.895
400,106.41,0.63902
401,105.14,1.0762
402,110.87,16.654
403,111.48,11.851
404,100.12,10.582
405,100.67,19.368
406,93.624,222.37
407,99.385,231.26
408,108.29,231.83
409,93.631,234.46
410,116.08,236.05
411,106.27,229.88
412,100.34,239.95
413,108.62,254.48
414,91.682,238.76
415,103.58,225.5
416,105.65,236.73
417,104.59,241.42
418,116.98,230.17
419,100.25,216.26
420,105.79,242.35
421,103.29,214.31
422,121.6,224.49
423,88.093,231.11
424,111.18,244.96
425,93.187,229.78
426,105.25,246.64
427,109.63,238.38
428,97.884,229.91
429,100.24,229.2
430,101.76,241.8
431,110.46,228.26
432,104.66,232.26
433,113.67,251.73
434,106.97,238.7
435,95.068,241.33
436,109.97,234.8
437,90.972,255.8
438,104.72,236.4
439,90.796,235.43
440,102.49,232.22
441,89.703,244.77
442,109.27,225.95
443,111.45,225.1
444,61.22,216.47
445,59.138,201.44
446,55.497,209.64
447,73.92,224.56
448,78.595,211.23
449,51.633,222.62
450,62.248,205.38
451,44.891,233.4
452,39.524,221.25
453,55.313,222.89
454,45.388,210.99
455,44.693,207.29
456,68.99,217.62
457,51.288,234.19
458,54.595,232.11
459,41.865,228.11
460,58.711,219.62
461,56.476,231.81
462,53.348,222.65
463,57.728,214.93
464,55.302,215.65
465,64.29,233.33
466,53.99,221.49
467,32.278,209.19
468,57.088,224.82
469,53.761,220.76
470,62.757,232.71
471,58.392,219.37
472,54.013,212.85
473,51.569,223.76
474,53.806,222.4
475,62.73,223.29
476,89.104,219.12
477,86.22,186.01
478,88.872,186.72
479,98.004,202.66
480,107.54,198.44
481,87.532,203.21
482,87.22,205.18
483,91.534,187.54
484,84.04,193.84
485,97.628,202.81
486,89.914,222.16
487,85.818,204.02
488,96.345,216.6
489,92.703,197.79
490,123.03,296.9
491,134.2,304.67
492,140.71,291.64
493,195.27,231.43
494,69.264,123.67
495,69.696,124.61
496,66.023,116.89
497,93.638,138.58
498,93.657,143.42
499,80.704,163.57
500,80.652,136.58
501,86.827,120.05
502,66.368,126.74
503,48.207,131.68
504,66.429,114.06
505,90.15,138.63
506,57.889,157.87
507,61.073,140.41
508,73.285,143.73
509,82.483,120.02
510,58.041,140.2
511,85.925,141.89
512,70.003,141.53
513,85.44,121.71
514,64.164,122.22
515,67.125,119.52
516,69.177,148.1
517,65.064,137.05
518,61.178,133.53
519,70.043,125.94
520,68.025,134.64
521,66.326,137.19
522,45.507,126.7
523,74.453,152.48
524,63.309,142.63
525,90.418,72.951
526,59.025,72.525
527,69.07,96.32
528,66.857,94.051
529,82.58,92.261
530,80.344,81.229
531,71.941,83.511
532,83.402,73.491
533,84.666,85.954
534,76.206,71.107
535,73.107,77.213
536,93.189,79.339
537,72.681,101.23
538,75.391,97.688
539,82.549,103.58
540,91.895,77.553
541,116.31,234.32
542,128.95,227.11
543,128.05,222.11
544,136.19,241.16
545,115.92,238.94
546,108.88,238.46
547,138.36,133.7
548,131.13,115.09
549,127.02,117.24
550,142.92,115.35
551,134.34,145.44
552,141.59,123.94
553,143.21,116.85
554,119.26,109.55
555,130.63,126.43
556,133.74,126.37
557,136.49,115.85
558,133.1,138.08
